objID,ra,dec,z,zErr,photoz,photozErr,u,g,r,i,zmag,err_u,err_g,err_r,err_i,err_z
1237661465449267636,235.71722,35.614394,0.3228832,5.870537E-05,0.319028,0.02396,22.54147,20.32672,18.64398,18.06081,17.67664,0.4571248,0.03138559,0.01213905,0.01135253,0.02389358
1237661465449268066,235.65893,35.619235,0.5438721,0.0001620664,0.489723,0.056393,22.80462,21.79571,20.31669,19.5025,18.92232,0.5682423,0.1083018,0.04466021,0.03437225,0.06647965
1237661465449333457,235.80443,35.610608,0.6620156,0.0001448002,0.624428,0.058828,22.49585,21.83928,20.71146,19.7471,19.3826,0.4600458,0.1186675,0.06398868,0.04343979,0.1165911
1237661465986007388,235.74043,36.151716,0.3332132,6.367872E-05,0.340268,0.020248,22.56299,20.81029,19.0373,18.43515,18.06558,0.4864803,0.04140379,0.01535479,0.01380513,0.03267236
1237661465986008224,235.67942,36.139108,0.6340575,0.0002006807,0.605795,0.039795,23.89405,22.78165,21.11504,19.95064,19.44198,1.063833,0.1798762,0.0675487,0.03734043,0.08382591
1237661465986072932,235.68164,35.946771,0.363485,7.934895E-05,0.327784,0.022054,24.26851,20.69532,18.98856,18.41029,18.0839,1.789469,0.04362949,0.01647788,0.01493251,0.03718893
1237661465986073439,235.80843,36.016514,0.5082814,0.0001481161,0.524172,0.032959,24.58883,22.43274,20.74388,19.77535,19.40104,1.442979,0.1507962,0.05368216,0.03528594,0.08808614
1237661465986138784,235.81912,35.868046,0.5559057,0.0001471672,0.528593,0.029587,23.27002,21.92334,20.23349,19.23803,18.78873,0.7961012,0.09891261,0.0358526,0.02311858,0.05256343
1237661465986138917,235.85878,35.840905,0.6506056,0.0001871074,0.686313,0.040029,25.22237,23.45088,21.26749,19.98565,19.34577,1.04178,0.2956437,0.06946439,0.03450911,0.06852483
1237661465986139114,235.9267,35.834781,0.5551769,0.0001886499,0.545066,0.034369,22.9565,21.96017,20.42114,19.42146,18.93553,0.6285657,0.1042404,0.04242814,0.0271642,0.06061248
1237661465986204323,236.07709,35.854718,0.429213,0.000115936,0.406814,0.03892,22.9233,21.2859,19.57323,18.84733,18.38002,0.6717718,0.06521593,0.02323046,0.01915748,0.04277504
1237661465986204371,236.08601,35.839691,0.5259117,5.415787E-05,0.579558,0.068618,22.8723,21.58512,20.39449,19.39417,19.31343,0.5258926,0.06758816,0.03619339,0.02383327,0.07366489
1237661465986204519,236.06861,35.751274,0.5422544,0.0002055989,0.547598,0.027397,26.28463,22.09842,20.49652,19.45878,18.96494,0.5438482,0.1049768,0.04012921,0.02521868,0.05578839
1237661465986204519,236.06861,35.751274,0.5425106,0.0001207419,0.547598,0.027397,26.28463,22.09842,20.49652,19.45878,18.96494,0.5438482,0.1049768,0.04012921,0.02521868,0.05578839
1237661465986204521,236.13231,35.823276,0.4341499,7.890283E-05,0.399445,0.043173,22.38673,20.79695,19.12088,18.40321,17.95136,0.6205724,0.06049568,0.02234666,0.01853902,0.04276276
1237661465986204521,236.13231,35.823276,0.4342068,9.609099E-05,0.399445,0.043173,22.38673,20.79695,19.12088,18.40321,17.95136,0.6205724,0.06049568,0.02234666,0.01853902,0.04276276
1237661465986204644,236.15441,35.809335,0.3243781,0.0001068993,0.371528,0.052736,23.42142,21.92862,20.30233,19.71576,19.41386,0.6120696,0.07049127,0.02691857,0.0246366,0.06257618
1237661465986204655,236.18846,35.844822,0.5444182,0.0001882134,0.55373,0.030849,25.31726,21.719,20.22948,19.18149,18.62427,1.701754,0.1113823,0.04647462,0.02926574,0.06262942
1237661465986204697,236.13221,35.763307,0.5421258,0.0001550501,0.505329,0.023875,23.90284,21.29412,19.59752,18.67878,18.10009,2.280277,0.1046703,0.03693985,0.02567881,0.05452371
1237661465986204780,235.98567,35.785175,0.6508968,0.0001920814,0.620977,0.029926,26.26675,23.03985,20.88137,19.62318,19.20278,0.6500598,0.271123,0.06395108,0.03279337,0.0784046
1237661465986204780,235.98567,35.785175,0.6508285,0.0001849171,0.620977,0.029926,26.26675,23.03985,20.88137,19.62318,19.20278,0.6500598,0.271123,0.06395108,0.03279337,0.0784046
1237661465986269539,236.24893,35.770789,0.3254238,8.022585E-05,0.359926,0.022658,23.58916,21.10068,19.32807,18.68928,18.34853,0.9207043,0.046505,0.01665021,0.01469351,0.03539627
1237661465986269539,236.24893,35.770789,0.3254616,7.264656E-05,0.359926,0.022658,23.58916,21.10068,19.32807,18.68928,18.34853,0.9207043,0.046505,0.01665021,0.01469351,0.03539627
1237661465986269754,236.13403,35.749065,0.6402286,6.243501E-05,0.604354,0.052688,23.34915,22.06289,20.90728,19.92593,19.49191,0.8801963,0.1143812,0.06283575,0.04130469,0.1009353
1237661465986270023,236.24475,35.791821,0.6933411,0.0003004418,0.611681,0.031186,22.33051,22.81948,20.47611,19.28528,18.69432,0.609179,0.3654241,0.07098994,0.03879696,0.08222551
1237661465986270112,236.30379,35.82107,0.5042616,0.0001651272,0.542904,0.041842,23.99697,22.113,20.70716,19.75246,19.27078,1.134338,0.104234,0.04794637,0.03233419,0.07386485
1237661465986270208,236.26493,35.732382,0.4145945,8.506112E-05,0.387132,0.029221,22.47236,21.01112,19.26112,18.57372,18.18237,0.4697314,0.05216862,0.01854351,0.01578862,0.03718455
1237661465986270208,236.26493,35.732382,0.4145192,0.0001058353,0.387132,0.029221,22.47236,21.01112,19.26112,18.57372,18.18237,0.4697314,0.05216862,0.01854351,0.01578862,0.03718455
1237661465986270419,236.38502,35.79071,0.6920112,0.0003041105,0.63456,0.069858,21.61849,21.95901,20.80327,19.82294,19.35712,0.2465597,0.1296427,0.07289287,0.04835335,0.1162964
1237661465986334881,236.37748,35.666274,0.5525348,0.0001929258,0.565794,0.041711,24.46374,22.11392,20.57579,19.49929,19.26197,1.69736,0.1361947,0.05492503,0.0330819,0.09448917
1237661465986335143,236.4388,35.659931,0.05523921,1.032217E-05,0.050471,0.009862,17.60702,15.61395,14.70474,14.26028,13.9209,0.02300101,0.002910858,0.002401034,0.002405033,0.004079868
1237661465986335143,236.4388,35.659931,0.0551876,1.095073E-05,0.050471,0.009862,17.60702,15.61395,14.70474,14.26028,13.9209,0.02300101,0.002910858,0.002401034,0.002405033,0.004079868
1237661465986335376,236.34247,35.605102,0.4842906,0.0001597205,0.489634,0.045634,24.93997,21.42817,20.00107,19.16921,18.67722,2.14067,0.09492484,0.04433548,0.03108006,0.07077168
1237661465986335492,236.36223,35.749028,0.5426754,0.0001575701,0.586776,0.055066,22.86346,21.70473,20.46382,19.43226,18.88382,0.7668758,0.1091879,0.05651496,0.03582509,0.07791996
1237661465986335547,236.39053,35.756471,0.5047854,0.0001057781,0.499687,0.045204,21.34437,20.58105,19.23043,18.4341,18.04731,0.2457205,0.04979356,0.02418411,0.0189814,0.0461148
1237661465986335579,236.415,35.778847,0.6571964,0.0002338016,0.591416,0.031547,24.6054,23.34865,20.87726,19.724,19.1532,1.760862,0.3921257,0.07579688,0.04115782,0.08782375
1237661465986335680,236.34151,35.652872,0.5740536,0.0002212748,0.570048,0.050165,23.26504,21.87487,20.55644,19.55887,19.06725,1.091759,0.1304814,0.06189529,0.03948845,0.09213715
1237661465986335737,236.37029,35.660675,0.550888,0.0002031747,0.562015,0.038715,25.08431,22.37646,20.823,19.7548,19.34189,1.36346,0.1488913,0.05756337,0.03525719,0.08630981
1237661465986335752,236.45277,35.752763,0,0,0.581967,0.026258,26.67588,22.46529,20.68738,19.54128,19.07528,0.3880551,0.1453701,0.04730687,0.02780087,0.06373037
1237661465986335804,236.36396,35.632443,0.6910111,0.0002903469,0.576599,0.053689,23.39512,22.22765,20.94059,19.94445,19.69603,1.100158,0.1634609,0.08061495,0.0513512,0.1561074
1237661465986400881,236.53321,35.662091,0.4887718,0.0001151244,0.467106,0.042053,23.95501,22.17065,20.49523,19.6897,19.22778,0.967793,0.09403685,0.03446027,0.02625226,0.06086729
1237661465986401158,236.63033,35.652291,0.4541922,0.0001362978,0.476741,0.044397,23.43708,22.03993,20.42785,19.60295,19.37332,0.8351161,0.103261,0.03916544,0.02888967,0.08117573
1237662337863582085,235.86107,35.709683,0.3239157,0.0001077243,0.367755,0.031704,24.26135,21.09734,19.33676,18.66924,18.3264,1.680108,0.0586236,0.01993789,0.01835352,0.04743645
1237662337863582465,235.88399,35.804221,0.5575307,0.000110305,0.504631,0.052588,22.77079,21.93453,20.36336,19.50908,19.20146,0.8887923,0.166081,0.06479464,0.0509958,0.1470808
1237662337863582603,235.88549,35.751985,0.5437222,0.000195224,0.555731,0.037658,26.02834,22.36581,20.70072,19.6411,19.28876,0.9704621,0.1838211,0.06539372,0.04355982,0.1174125
1237662337863582680,235.90981,35.74771,0.5130758,7.649933E-05,0.487443,0.021259,22.85927,22.05103,20.24304,19.37879,18.87616,0.5662118,0.1076225,0.03470054,0.02726886,0.06278358
1237662337863582746,235.91431,35.727079,0.4599217,0.0001579169,0.494597,0.02384,24.87358,21.92949,20.20152,19.31212,18.79455,1.595692,0.1079292,0.03705316,0.02845113,0.0654179
1237662337863647912,235.91526,35.668117,0.5412073,0.000164166,0.525997,0.023351,22.87742,21.74492,20.02805,19.02767,18.47599,0.7482187,0.1067589,0.03664385,0.02560429,0.05678616
1237662473154069107,236.0543,36.013689,0.6287305,0.0001404864,0.645992,0.041798,26.33164,22.64302,21.1087,19.8024,19.33661,0.556481,0.1982538,0.0727243,0.03378358,0.07738964
1237662473154134804,236.28526,35.906967,0.4769417,0.000122685,0.49553,0.02332,23.54029,21.60387,19.69055,18.72996,18.39539,1.359567,0.1214634,0.03195884,0.0202237,0.0497224
1237662473154134855,236.28894,35.889908,0.6426469,0.0001671472,0.599763,0.055598,25.50773,21.6602,20.61886,19.58706,18.96002,1.283513,0.1054255,0.05869862,0.03433137,0.06765445
1237662473154330634,236.62613,35.709647,0.2362218,2.47822E-05,0.222673,0.019917,21.53329,19.20492,17.86773,17.30771,16.98474,0.3086546,0.02118108,0.009995621,0.008746515,0.01950501
1237662473691005771,236.48539,36.315657,0.6336775,0.0002631615,0.644049,0.053707,23.06595,23.2981,21.59581,20.42123,19.77325,0.5777383,0.3271411,0.1047727,0.05108377,0.1157346
1237662474227811176,236.71459,36.599281,0.8840556,0.0003041899,0.798606,0.093713,24.81645,22.5287,22.07367,20.55307,19.59057,2.672033,0.3158942,0.3107675,0.1138114,0.2100078
1237662474227941403,236.82607,36.413358,0.5485104,0.0002125896,0.581652,0.046151,24.94092,23.01129,21.63116,20.55672,19.87231,1.078995,0.205516,0.08640093,0.04664954,0.1084909
1237662503755645954,236.37797,36.483098,0.5743481,0.000301554,0.549783,0.029225,23.81082,23.34369,21.27863,20.28281,19.62668,1.037943,0.3415312,0.08338169,0.05165926,0.1149388
1237662503755776627,236.63907,36.403059,0.9703574,0.0002221394,0.821274,0.090401,23.23771,22.84067,21.75175,20.62015,19.81125,0.5961289,0.1895985,0.1087014,0.06082192,0.1199715
1237662503755776824,236.72445,36.354111,0.9293096,0.0005201062,0.637465,0.141372,24.68277,22.57714,21.92585,20.74523,19.86029,1.485121,0.1888161,0.1623075,0.08652523,0.1660619
1237662503755841694,236.77429,36.208153,0.7519732,0.0003193968,0.722212,0.052607,24.31173,24.18899,21.65247,20.36487,19.55186,1.409886,0.7001352,0.1278875,0.06089712,0.1254003
1237662503755842796,236.67215,36.221825,0.7482388,0.0003501268,0.68204,0.051712,26.59851,23.80234,22.29587,20.43405,19.60142,0.6768855,0.7827982,0.3300235,0.09555323,0.1938188
1237662503755842816,236.75128,36.269359,0.929706,0.0006121921,0.803527,0.088455,23.57519,23.04505,22.03509,20.64182,19.78951,1.181795,0.3448378,0.2150057,0.09399213,0.1881923
